# 季節|季語|読み|自分で書いた一行の説明|コトバンクで引いた見出し（季節の確認用）
春|春一番|はるいちばん|立春のころ、その年はじめて吹く強い南の風。|春一番
春|梅|うめ|春のはじめに白や紅の花が咲く木。香りがよい。|梅
春|鶯|うぐいす|「ホーホケキョ」と鳴く小さな鳥。|鶯
春|菜の花|なのはな|畑一面に咲く黄色い花。|菜の花
春|桜|さくら|春を代表する花。散り方も含めて詠まれる。|桜
春|花見|はなみ|桜の花をながめて楽しむこと。|花見
春|蒲公英|たんぽぽ|道ばたに咲く黄色い花。綿毛で種を飛ばす。|蒲公英
春|土筆|つくし|土手などに生える筆の形をした草。|土筆
春|よもぎ|よもぎ|草餅に入れる、香りのよい草。|艾
春|蝶|ちょう|花から花へ舞う虫。季語では春。|蝶
春|燕|つばめ|南の国から渡ってきて、軒下に巣を作る鳥。|燕
春|雲雀|ひばり|空高く上がりながら鳴く鳥。|雲雀
春|蛙|かわず|田や池で鳴くカエル。|蛙
春|春雨|はるさめ|春に静かに降る細かい雨。|春雨
春|霞|かすみ|春に遠くの景色がぼんやり見えること。|霞
春|朧月|おぼろづき|春の夜の、かすんで見える月。|朧月
春|陽炎|かげろう|日ざしで地面の上の空気がゆらゆら見えること。|陽炎
春|雪解|ゆきどけ|積もった雪がとけること。|雪解
春|山笑う|やまわらう|春の山が芽吹いて明るく見えるようす。|山笑う
春|春眠|しゅんみん|春の夜の心地よい眠り。|春眠
春|雛祭|ひなまつり|三月三日、ひな人形を飾る女の子の祭り。|雛祭
春|卒業|そつぎょう|学校を終えて巣立つこと。|卒業
春|入学|にゅうがく|新しく学校に入ること。|入学
春|遠足|えんそく|学校のみんなで歩いて出かける行事。|遠足
春|潮干狩|しおひがり|潮が引いた浜で貝をとること。|潮干狩
春|風船|ふうせん|ふくらませて遊ぶゴムの玉。|風船
春|チューリップ||赤・黄・白などの杯の形の花。|チューリップ
春|桃の花|もものはな|ひな祭りのころに咲く桃色の花。|桃の花
